contestID,choiceID,precID,precname,splitID,splitname,count,cont_ch
352,505,6,AU0002,9,FED11 DEM,0,352_505
351,495,6,AU0002,10,FED11 REP,0,351_495
351,500,6,AU0002,10,FED11 REP,0,351_500
182,110,11,AU0003,11,3 DEM,0,182_110
182,115,11,AU0003,11,3 DEM,0,182_115
182,120,11,AU0003,11,3 DEM,0,182_120
182,130,11,AU0003,11,3 DEM,0,182_130
182,135,11,AU0003,11,3 DEM,0,182_135
182,140,11,AU0003,11,3 DEM,0,182_140
192,155,11,AU0003,11,3 DEM,0,192_155
192,160,11,AU0003,11,3 DEM,0,192_160
192,165,11,AU0003,11,3 DEM,0,192_165
192,170,11,AU0003,11,3 DEM,0,192_170
192,175,11,AU0003,11,3 DEM,0,192_175
192,180,11,AU0003,11,3 DEM,0,192_180
192,185,11,AU0003,11,3 DEM,0,192_185
192,190,11,AU0003,11,3 DEM,0,192_190
202,200,11,AU0003,11,3 DEM,0,202_200
212,215,11,AU0003,11,3 DEM,0,212_215
222,225,11,AU0003,11,3 DEM,0,222_225
352,505,11,AU0003,11,3 DEM,0,352_505
670,870,11,AU0003,11,3 DEM,0,670_870
670,875,11,AU0003,11,3 DEM,0,670_875
671,880,11,AU0003,11,3 DEM,0,671_880
671,885,11,AU0003,11,3 DEM,0,671_885
1202,1265,11,AU0003,11,3 DEM,0,1202_1265
2202,2310,11,AU0003,11,3 DEM,0,2202_2310
3007,1,11,AU0003,11,3 DEM,0,3007_1
3032,1,11,AU0003,11,3 DEM,0,3032_1
3032,2,11,AU0003,11,3 DEM,0,3032_2
4022,3775,11,AU0003,11,3 DEM,0,4022_3775
4022,3780,11,AU0003,11,3 DEM,0,4022_3780
4452,3750,11,AU0003,11,3 DEM,0,4452_3750
8006,1,11,AU0003,11,3 DEM,0,8006_1
8006,2,11,AU0003,11,3 DEM,0,8006_2
8014,1,11,AU0003,11,3 DEM,0,8014_1
8014,2,11,AU0003,11,3 DEM,0,8014_2
181,100,11,AU0003,12,3 REP,0,181_100
181,105,11,AU0003,12,3 REP,0,181_105
191,145,11,AU0003,12,3 REP,0,191_145
191,150,11,AU0003,12,3 REP,0,191_150
201,195,11,AU0003,12,3 REP,0,201_195
211,210,11,AU0003,12,3 REP,0,211_210
221,220,11,AU0003,12,3 REP,0,221_220
351,495,11,AU0003,12,3 REP,0,351_495
351,500,11,AU0003,12,3 REP,0,351_500
3006,1,11,AU0003,12,3 REP,0,3006_1
3006,2,11,AU0003,12,3 REP,0,3006_2
3031,1,11,AU0003,12,3 REP,0,3031_1
3031,2,11,AU0003,12,3 REP,0,3031_2
3036,1,11,AU0003,12,3 REP,0,3036_1
7369,1,11,AU0003,12,3 REP,0,7369_1
4021,3760,11,AU0003,12,3 REP,0,4021_3760
4021,3765,11,AU0003,12,3 REP,0,4021_3765
4021,3770,11,AU0003,12,3 REP,0,4021_3770
8006,1,11,AU0003,12,3 REP,0,8006_1
8006,2,11,AU0003,12,3 REP,0,8006_2
8014,1,11,AU0003,12,3 REP,0,8014_1
8014,2,11,AU0003,12,3 REP,0,8014_2
8006,1,11,AU0003,13,3 NP,0,8006_1
8006,2,11,AU0003,13,3 NP,0,8006_2
8014,1,11,AU0003,13,3 NP,0,8014_1
8014,2,11,AU0003,13,3 NP,0,8014_2
352,505,11,AU0003,14,FED11 DEM,0,352_505
351,495,11,AU0003,15,FED11 REP,0,351_495
351,500,11,AU0003,15,FED11 REP,0,351_500
182,110,11,AU0003,16,4 DEM,0,182_110
182,115,11,AU0003,16,4 DEM,0,182_115
182,120,11,AU0003,16,4 DEM,0,182_120
182,130,11,AU0003,16,4 DEM,0,182_130
182,135,11,AU0003,16,4 DEM,0,182_135
182,140,11,AU0003,16,4 DEM,0,182_140
192,155,11,AU0003,16,4 DEM,0,192_155
192,160,11,AU0003,16,4 DEM,0,192_160
192,165,11,AU0003,16,4 DEM,0,192_165
192,170,11,AU0003,16,4 DEM,0,192_170
192,175,11,AU0003,16,4 DEM,0,192_175
192,180,11,AU0003,16,4 DEM,0,192_180
192,185,11,AU0003,16,4 DEM,0,192_185
192,190,11,AU0003,16,4 DEM,0,192_190
202,200,11,AU0003,16,4 DEM,0,202_200
212,215,11,AU0003,16,4 DEM,0,212_215
222,225,11,AU0003,16,4 DEM,0,222_225
352,505,11,AU0003,16,4 DEM,0,352_505
670,870,11,AU0003,16,4 DEM,0,670_870
670,875,11,AU0003,16,4 DEM,0,670_875
671,880,11,AU0003,16,4 DEM,0,671_880
671,885,11,AU0003,16,4 DEM,0,671_885
1202,1265,11,AU0003,16,4 DEM,0,1202_1265
2202,2310,11,AU0003,16,4 DEM,0,2202_2310
3007,1,11,AU0003,16,4 DEM,0,3007_1
3032,1,11,AU0003,16,4 DEM,0,3032_1
3032,2,11,AU0003,16,4 DEM,0,3032_2
4022,3775,11,AU0003,16,4 DEM,0,4022_3775
4022,3780,11,AU0003,16,4 DEM,0,4022_3780
8006,1,11,AU0003,16,4 DEM,0,8006_1
